Altitude,Temperature,Pressure,Density,Viscosity
0,288.15,101325,1.22501226599069,1.78938027807758e-05
1,281.65,89874.4551590813,1.11165228195249,1.75784549030488e-05
2,275.15,79495.0090835024,1.00649771890194,1.72596145351859e-05
3,268.65,70108.2683396931,0.90912760321368,1.69371873062587e-05
4,262.15,61639.9074303469,0.819133267998103,1.66110753909488e-05
5,255.65,54019.5484736222,0.736118278021024,1.62811773992871e-05
6,249.15,47180.6416252742,0.659698353258759,1.59473882721284e-05
7,242.65,41060.3462573877,0.589501291029067,1.56095991852029e-05
8,236.15,35599.412907987,0.525166886634138,1.52676974653281e-05
9,229.65,30742.0660164448,0.466346852447204,1.49215665232886e-05
10,223.15,26435.8874603112,0.41270473536927,1.45710858090486e-05
11,216.65,22632.1,0.36392224991139,1.42161307964134e-05
12,216.65,19330.4031973313,0.310831245145927,1.42161307964134e-05
13,216.65,16510.3763137931,0.265485451858171,1.42161307964134e-05
14,216.65,14101.7506588116,0.226754955459022,1.42161307964134e-05
15,216.65,12044.5087297715,0.193674679592959,1.42161307964134e-05
16,216.65,10287.3887116202,0.165420338618416,1.42161307964134e-05
17,216.65,8786.60714839955,0.141287898274268,1.42161307964134e-05
18,216.65,7504.76795856845,0.120676032738683,1.42161307964134e-05
19,216.65,6409.9306092471,0.103071140949938,1.42161307964134e-05
20,216.65,5474.89,0.0880357671986854,1.42161307964134e-05
21,217.65,4677.87943714581,0.0748743045971105,1.42710355872772e-05
22,218.65,3999.77775361317,0.0637277855576794,1.43258319180461e-05
23,219.65,3422.41796920554,0.0542805561428928,1.43805202604325e-05
24,220.65,2930.47327981513,0.0462675265481617,1.44351010839538e-05
25,221.65,2511.00301623386,0.0394658942231824,1.44895748559259e-05
26,222.65,2153.07277535908,0.0336882505848455,1.4543942041457e-05
27,223.65,1847.43634976872,0.0287768352711437,1.45982031034427e-05
28,224.65,1586.2691885208,0.0245987429635486,1.46523585025617e-05
29,225.65,1362.94486299761,0.0210419215957186,1.47064086972717e-05
30,226.65,1171.84745145223,0.0180118285865676,1.47603541438064e-05
31,227.65,1008.21394772714,0.0154286346605044,1.48141952961732e-05
32,228.65,868.02,0.0132251612188854,1.48679326061509e-05
33,231.45,748.228181760452,0.0112620986031008,1.50178484505958e-05
34,234.25,646.121161267496,0.00960896948467615,1.51669634606683e-05
35,237.05,558.921749918862,0.0082139773177817,1.53152872747805e-05
36,239.85,484.314436886117,0.00703444990293231,1.54628293945412e-05
37,242.65,420.364484943013,0.00603515140917958,1.56095991852029e-05
38,245.45,365.451916333212,0.00518692126801091,1.57556058762881e-05
39,248.25,318.217519914167,0.00446557387396032,1.59008585623739e-05
40,251.05,277.518587719447,0.00385100692707346,1.6045366204018e-05
41,253.85,242.392545207251,0.00332647711509606,1.61891376288088e-05
42,256.65,212.02700107146,0.00287801034643893,1.63321815325251e-05
43,259.45,185.735029927772,0.00249392043534769,1.64745064803915e-05
44,262.25,162.934730256438,0.00216441541284498,1.66161209084182e-05
45,265.05,143.132282998736,0.00188127480259019,1.6757033124813e-05
46,267.85,125.907882787287,0.00163758450061904,1.68972513114558e-05
47,270.65,110.91,0.00142759534333098,1.7036783525427e-05
48,270.65,97.7576286615316,0.00125830254668003,1.7036783525427e-05
49,270.65,86.1649442027401,0.0011090855026797,1.7036783525427e-05
50,270.65,75.9469896223339,0.000977563508473993,1.7036783525427e-05
51,270.65,66.94,0.00086162863837865,1.7036783525427e-05
52,267.85,58.9630744535489,0.000766886192480139,1.68972513114558e-05
53,265.05,51.8675152211546,0.000681726354210275,1.6757033124813e-05
54,262.25,45.5637411090397,0.00060526606800202,1.66161209084182e-05
55,259.45,39.970466906337,0.000536695551005465,1.64745064803915e-05
56,256.65,35.0140115624871,0.000475272899385146,1.63321815325251e-05
57,253.85,30.6276575491541,0.000420319040089078,1.61891376288088e-05
58,251.05,26.7510581113962,0.000371213009334268,1.6045366204018e-05
59,248.25,23.3296892926511,0.00032738753988459,1.59008585623739e-05
60,245.45,20.3143437899134,0.000288324939999805,1.57556058762881e-05
61,242.65,17.6606638595598,0.000253553247709588,1.56095991852029e-05
62,239.85,15.328710650889,0.00022264264481461,1.54628293945412e-05
63,237.05,13.2825674938455,0.000195202115738365,1.53152872747805e-05
64,234.25,11.4899748098515,0.000170876337049503,1.51669634606683e-05
65,231.45,9.92199445042066,0.000149342784145267,1.50178484505958e-05
